,master_id,interested_in_categories_12,segment
2,69b69676-1a40-11ea-941b-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
15,13ed97a4-b167-11e9-89fa-000d3a38a36f,"[AKTIFCOCUK, COCUK, KADIN]",cant_loose
16,d9b77226-a509-11e9-a2fc-000d3a38a36f,[COCUK],at_Risk
39,280cd78c-f324-11e9-9346-000d3a38a36f,"[ERKEK, AKTIFSPOR]",at_Risk
67,9e060288-2eed-11ea-8467-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK]",at_Risk
70,3af86bfe-5459-11ea-b1db-000d3a38a36f,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",at_Risk
71,9c5d4960-5bd8-11ea-9ccc-000d3a38a36f,"[ERKEK, AKTIFSPOR]",at_Risk
72,6fcc04d0-3050-11ea-bb28-000d3a38a36f,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",at_Risk
76,7d58deb6-62fa-11ea-a6dc-000d3a38a36f,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]",cant_loose
88,8c92d204-1eb4-11ea-aa32-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",at_Risk
89,bfc40df8-3068-11ea-bb28-000d3a38a36f,"[AKTIFCOCUK, COCUK]",at_Risk
91,808005da-a511-11e9-a2fc-000d3a38a36f,"[COCUK, KADIN]",cant_loose
93,acff824a-1dc3-11ea-8bf2-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
96,4e18b218-5650-11ea-b9b9-000d3a38a36f,[COCUK],at_Risk
103,8b607a4a-abae-11e9-a2fc-000d3a38a36f,"[COCUK, KADIN]",at_Risk
108,5bc87a7c-9de8-11e9-9897-000d3a38a36f,[COCUK],at_Risk
147,90e0b158-2b54-11ea-9d27-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]",cant_loose
160,aa572c64-5efa-11ea-be5b-000d3a38a36f,[AKTIFCOCUK],at_Risk
166,9613613c-c9d0-11ea-a31e-000d3a38a36f,[ERKEK],new_customers
179,6e928d60-a3c3-11e9-a2fc-000d3a38a36f,[ERKEK],at_Risk
183,d285739a-a3b5-11e9-a2fc-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
186,e6494e3a-5baf-11ea-9f92-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
187,fac3db2c-9d1f-11e9-9897-000d3a38a36f,[COCUK],cant_loose
190,ce4dc94e-af68-11e9-a2fc-000d3a38a36f,[ERKEK],at_Risk
192,ec3a1cd4-a511-11e9-a2fc-000d3a38a36f,[COCUK],at_Risk
195,254ff53e-1335-11ea-a001-000d3a38a36f,"[ERKEK, COCUK, KADIN]",at_Risk
202,3571aafe-6cf2-11ea-b576-000d3a38a36f,"[COCUK, AKTIFSPOR]",at_Risk
222,44cb68d2-5eec-11ea-be5b-000d3a38a36f,[COCUK],new_customers
235,175699e0-2ac0-11ea-b3a7-000d3a38a36f,[ERKEK],at_Risk
238,e6828b04-1fc4-11ea-87bf-000d3a38a36f,[ERKEK],at_Risk
240,d1f20680-a574-11e9-a2fc-000d3a38a36f,"[ERKEK, COCUK]",at_Risk
243,eb1b30a8-a530-11e9-a2fc-000d3a38a36f,[COCUK],at_Risk
247,7cefecc8-27b6-11ea-aaaa-000d3a38a36f,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]",at_Risk
260,1edf421c-e2e9-11e9-ad00-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
262,7aff7b54-abc4-11e9-a2fc-000d3a38a36f,"[ERKEK, KADIN]",at_Risk
267,ece891e6-5f3e-11ea-be5b-000d3a38a36f,"[AKTIFCOCUK, COCUK]",at_Risk
282,6dcdd324-aeec-11e9-a2fc-000d3a38a36f,[ERKEK],at_Risk
283,0df28674-ff24-11e9-a5e8-000d3a38a36f,"[ERKEK, AKTIFSPOR]",at_Risk
284,86bd40a8-1937-11ea-b6a2-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",at_Risk
300,933f716c-a528-11e9-a2fc-000d3a38a36f,[COCUK],at_Risk
310,bfd1a73c-1c82-11ea-a490-000d3a38a36f,[COCUK],at_Risk
321,5fa248c4-5f91-11ea-be5b-000d3a38a36f,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]",at_Risk
329,9b1ad686-9f5d-11e9-a2fc-000d3a38a36f,[ERKEK],cant_loose
351,8e139dee-673d-11ea-9d38-000d3a38a36f,[COCUK],cant_loose
375,23f4d0c8-d6a0-11e9-93bc-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",at_Risk
377,1c9f6aa8-ada2-11e9-a2fc-000d3a38a36f,"[ERKEK, AKTIFSPOR]",cant_loose
