,master_id,interested_in_categories_12,segment
0,cc294636-19f0-11eb-8d74-000d3a38a36f,[KADIN],loyal_customers
1,f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",loyal_customers
8,cfbda69e-5b4f-11ea-aca7-000d3a38a36f,"[ERKEK, COCUK, KADIN]",loyal_customers
11,c2e15af2-9eed-11e9-9897-000d3a38a36f,"[COCUK, KADIN, AKTIFSPOR]",champions
30,1618f596-130a-11ea-a001-000d3a38a36f,[AKTIFSPOR],loyal_customers
32,57b22f66-d6a3-11e9-93bc-000d3a38a36f,[AKTIFSPOR],loyal_customers
33,fb840306-1219-11ea-a001-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",loyal_customers
42,1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,"[COCUK, AKTIFSPOR]",loyal_customers
49,6925c836-ab8b-11e9-a2fc-000d3a38a36f,"[ERKEK, COCUK]",loyal_customers
52,d875bb04-4539-11ea-acaf-000d3a38a36f,[AKTIFSPOR],loyal_customers
60,07ddfcfe-2590-11ea-b1c8-000d3a38a36f,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",champions
61,b4e68f92-a534-11e9-a2fc-000d3a38a36f,[AKTIFSPOR],loyal_customers
68,444de882-b067-11e9-9757-000d3a38a36f,"[AKTIFCOCUK, ERKEK]",loyal_customers
69,89cbf714-a6d0-11e9-a2fc-000d3a38a36f,[AKTIFSPOR],loyal_customers
74,8423eda8-ae37-11e9-a2fc-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",champions
77,45beaf52-add9-11e9-a2fc-000d3a38a36f,"[AKTIFCOCUK, KADIN]",champions
80,b4f0a6e6-ae60-11e9-a2fc-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]",champions
83,7bb4c782-a450-11e9-a2fc-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]",loyal_customers
85,d8f47744-a595-11e9-a2fc-000d3a38a36f,"[AKTIFCOCUK, ERKEK]",loyal_customers
86,2c5e69e8-ae6b-11e9-a2fc-000d3a38a36f,"[ERKEK, AKTIFSPOR]",loyal_customers
87,0efc89ac-9f16-11e9-9897-000d3a38a36f,[COCUK],loyal_customers
100,b74c85fa-43a0-11eb-806e-000d3a38a36f,[COCUK],loyal_customers
102,f9adaeba-bbb5-11ea-a0c9-000d3a38a36f,[AKTIFSPOR],loyal_customers
109,804e7e88-18fd-11ea-9213-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]",champions
117,88667a54-1311-11ea-a001-000d3a38a36f,"[AKTIFCOCUK, AKTIFSPOR]",loyal_customers
118,c51201f2-1155-11ea-8872-000d3a38a36f,"[KADIN, AKTIFSPOR]",loyal_customers
120,b050a646-2254-11ea-8523-000d3a38a36f,[AKTIFCOCUK],loyal_customers
127,9c6ce7b0-5bee-11ea-bfa9-000d3a38a36f,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]",loyal_customers
136,37753730-9b69-11ea-a27a-000d3a38a36f,"[AKTIFCOCUK, COCUK, KADIN]",loyal_customers
140,e3506ca0-a218-11e9-a2fc-000d3a38a36f,"[KADIN, AKTIFSPOR]",loyal_customers
157,3d707d74-d667-11e9-93bc-000d3a38a36f,[ERKEK],loyal_customers
162,a28e246a-5daf-11eb-8dbd-000d3a38a36f,"[ERKEK, AKTIFSPOR]",loyal_customers
164,de6b47a4-a065-11ea-9d0a-000d3a38a36f,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]",champions
165,97abdc4a-a5d2-11e9-a2fc-000d3a38a36f,[AKTIFSPOR],loyal_customers
176,54df998e-5274-11ea-956d-000d3a38a36f,[AKTIFCOCUK],loyal_customers
182,19286990-2054-11ea-87bf-000d3a38a36f,"[COCUK, KADIN]",loyal_customers
184,4bb06236-9eea-11ea-80cd-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",loyal_customers
188,7c088fe8-f29d-11e9-9346-000d3a38a36f,"[AKTIFCOCUK, KADIN, AKTIFSPOR]",loyal_customers
194,04ad6d4e-2819-11eb-8a9b-000d3a38a36f,[AKTIFSPOR],loyal_customers
198,409e63de-5bc9-11ea-82af-000d3a38a36f,"[COCUK, KADIN, AKTIFSPOR]",champions
206,33be441a-b11d-11e9-9757-000d3a38a36f,[KADIN],champions
216,0ec13106-5bb1-11ea-a359-000d3a38a36f,"[KADIN, AKTIFSPOR]",champions
221,ce31bff6-a0ea-11e9-a2fc-000d3a38a36f,"[AKTIFCOCUK, AKTIFSPOR]",loyal_customers
228,5622c098-a179-11e9-a2fc-000d3a38a36f,[AKTIFSPOR],loyal_customers
229,ae2db226-137e-11ea-a001-000d3a38a36f,"[COCUK, AKTIFSPOR]",loyal_customers
230,2749330a-ff21-11e9-a5e8-000d3a38a36f,"[COCUK, KADIN, AKTIFSPOR]",champions
244,a30b93f8-a4fd-11e9-a2fc-000d3a38a36f,[KADIN],loyal_customers
253,4bd60b50-195f-11ea-b6a2-000d3a38a36f,"[ERKEK, KADIN, AKTIFSPOR]",loyal_customers
